"time","ca_cyto_substance_amount","ca_sub_substance_amount","der(ca_cyto_substance_amount)","der(ca_sub_substance_amount)","ca_cyto_con","ca_sub_con"
0.00039,2.362553186732009e-19,5.250000398698931e-21,-2.948166776462043e-21,2.948166776462043e-21,0.000119368971300708,0.0001193662900686784
0.0004,2.362552933935104e-19,5.250025678389375e-21,-2.302130242499407e-21,2.302130242499407e-21,0.0001193689585280404,0.0001193668648387038
0.00041,2.362552741360497e-19,5.250044935850067e-21,-1.80999513563587e-21,1.80999513563587e-21,0.0001193689487981292,0.000119367302684697
0.00042,2.362552589797927e-19,5.250060092107115e-21,-1.422668566453269e-21,1.422668566453269e-21,0.000119368941140368,0.0001193676472839422
0.00043,2.362552474398607e-19,5.250071632039058e-21,-1.127759194384851e-21,1.127759194384851e-21,0.0001193689353097699,0.0001193679096608487
0.00044,2.362552384357834e-19,5.25008063611646e-21,-8.976549940272847e-22,8.976549940272847e-22,0.0001193689307604228,0.0001193681143814646
0.00045,2.362552310790118e-19,5.25008799288806e-21,-7.096486085931282e-22,7.096486085931282e-22,0.0001193689270433837,0.0001193682816482201
0.00046,2.362552250943184e-19,5.250093977581302e-21,-5.567064478250949e-22,5.567064478250949e-22,0.0001193689240195928,0.0001193684177188058
0.00047,2.362552202157264e-19,5.250098856173416e-21,-4.320313159757747e-22,4.320313159757747e-22,0.0001193689215546641,0.0001193685286405958
0.00048,2.362552161353084e-19,5.250102936591411e-21,-3.277539671830384e-22,3.277539671830384e-22,0.0001193689194930161,0.0001193686214147521
0.00049,2.362552128541527e-19,5.250106217747104e-21,-2.439022105390539e-22,2.439022105390539e-22,0.0001193689178351987,0.0001193686960165336
0.0005,2.362552104912575e-19,5.25010858064228e-21,-1.835171115262939e-22,1.835171115262939e-22,0.0001193689166413362,0.0001193687497403449
0.0005,2.362552104912575e-19,5.25010858064228e-21,-1.835171115262939e-22,1.835171115262939e-22,0.0001193689166413362,0.0001193687497403449
